Wall time,Step,Value
1669658486.108995,1,0.6656666398048401
1669658573.2591417,2,0.7923333048820496
1669658660.3071165,3,0.8633333444595337
1669658747.0348387,4,0.9003333449363708
1669658833.8244302,5,0.9013333320617676
1669658920.8373826,6,0.8999999761581421
1669659007.902379,7,0.9110000133514404
1669659094.6595588,8,0.8796666860580444
1669659181.532351,9,0.9073333144187927
1669659268.0185833,10,0.890999972820282
1669659355.0775073,11,0.9070000052452087
1669659441.3378034,12,0.8966666460037231
1669659528.0653148,13,0.9206666350364685
1669659615.27549,14,0.8913333415985107
1669659702.1953392,15,0.753000020980835
1669659789.0195296,16,0.8536666631698608
1669659875.9569254,17,0.8196666836738586
1669659963.032129,18,0.7389999628067017
1669660050.3570776,19,0.06666666269302368
1669660137.0824785,20,0.06666666269302368
1669660224.1371672,21,0.06666666269302368
1669660311.125906,22,0.06666666269302368
1669660399.3471477,23,0.06666666269302368
1669660486.2223353,24,0.06666666269302368
1669660572.9179323,25,0.06666666269302368
1669660659.6185374,26,0.06666666269302368
1669660746.659283,27,0.06666666269302368
1669660833.8132083,28,0.06666666269302368
1669660921.0536704,29,0.06666666269302368
